                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67008,                0.46164,                0.91274,                0.92992,                0.95122,                0.96873,                0.76871,                0.79176,                0.45852,                 0.9013,              0.0001869,              0.0001869,              0.0001869
                     37,                0.68218,                0.45274,                0.91657,                0.89654,                0.96165,                0.97373,                0.78843,                 0.7778,                0.42733,                0.89109,             0.00018407,             0.00018407,             0.00018407
                     38,                0.67125,                0.45724,                0.90804,                0.87456,                0.93629,                0.95475,                0.77395,                0.75829,                0.53872,                0.88429,             0.00018124,             0.00018124,             0.00018124
                     39,                0.66386,                 0.4402,                0.91248,                0.91316,                0.93321,                 0.9595,                 0.7863,                0.75631,                 0.4581,                0.88646,             0.00017841,             0.00017841,             0.00017841
                     40,                0.66602,                0.42995,                0.91607,                0.84045,                0.93576,                0.96703,                0.78516,                0.78287,                0.62878,                0.89579,             0.00017558,             0.00017558,             0.00017558
                     41,                0.65981,                 0.4391,                  0.914,                0.86328,                0.94525,                0.95866,                0.78592,                0.77421,                0.50316,                 0.8955,             0.00017274,             0.00017274,             0.00017274
                     42,                0.65295,                0.42518,                0.90332,                0.86879,                0.92932,                0.92465,                0.75265,                0.75602,                0.56583,                0.89867,             0.00016991,             0.00016991,             0.00016991
                     43,                0.65359,                0.44179,                0.90836,                0.87997,                0.94806,                0.96005,                0.77929,                0.75325,                0.50217,                0.89246,             0.00016708,             0.00016708,             0.00016708
                     44,                 0.6312,                0.43569,                0.89505,                0.85257,                 0.9447,                0.96897,                0.78532,                0.76759,                0.58711,                0.88911,             0.00016425,             0.00016425,             0.00016425
                     45,                0.64507,                0.44636,                0.90578,                0.86627,                0.95588,                0.95665,                0.78267,                0.76287,                0.49989,                0.88597,             0.00016142,             0.00016142,             0.00016142
                     46,                0.63705,                0.42152,                0.89947,                0.85666,                0.93518,                0.96723,                0.79646,                0.76406,                0.57304,                0.88949,             0.00015859,             0.00015859,             0.00015859
                     47,                0.62836,                0.41352,                0.90721,                0.88819,                0.94343,                0.97316,                0.79207,                0.76973,                0.49658,                0.88827,             0.00015576,             0.00015576,             0.00015576
                     48,                 0.6328,                0.41138,                0.89704,                0.86553,                 0.9548,                 0.9495,                0.78341,                0.76365,                0.54016,                0.88613,             0.00015292,             0.00015292,             0.00015292
                     49,                0.63776,                0.39983,                0.90077,                0.91266,                0.93676,                0.97788,                0.80561,                0.75274,                0.46367,                0.89274,             0.00015009,             0.00015009,             0.00015009
                     50,                0.62743,                0.38939,                0.90247,                0.86514,                0.93057,                0.96175,                0.78134,                0.78134,                0.49402,                0.88941,             0.00014726,             0.00014726,             0.00014726
                     51,                0.63514,                0.40293,                0.90513,                 0.8569,                0.94221,                0.91548,                0.75115,                0.74519,                0.52867,                0.87576,             0.00014443,             0.00014443,             0.00014443
                     52,                0.60334,                0.38031,                0.89166,                0.88978,                0.94372,                0.93965,                0.76392,                0.75578,                0.54475,                0.88991,              0.0001416,              0.0001416,              0.0001416
                     53,                 0.6104,                0.37644,                  0.895,                 0.8831,                 0.9664,                0.95332,                0.78174,                0.76604,                0.45677,                0.88371,             0.00013877,             0.00013877,             0.00013877
                     54,                0.62236,                0.37878,                0.89893,                0.91345,                0.94471,                0.97366,                0.78549,                0.76906,                0.46033,                0.88942,             0.00013594,             0.00013594,             0.00013594
                     55,                0.60926,                0.37123,                0.89077,                0.90473,                0.95053,                0.95763,                0.77342,                0.76452,                0.48198,                 0.8949,              0.0001331,              0.0001331,              0.0001331
                     56,                0.60871,                0.39092,                0.88952,                0.92845,                0.90352,                0.96753,                0.77857,                0.75399,                0.45631,                0.88902,             0.00013027,             0.00013027,             0.00013027
                     57,                  0.619,                 0.3766,                0.90066,                0.91693,                0.93151,                0.97108,                0.77884,                0.74821,                0.44557,                0.88568,             0.00012744,             0.00012744,             0.00012744
                     58,                0.59557,                0.38038,                 0.8898,                0.87559,                0.94586,                0.95592,                0.76714,                0.75561,                0.44182,                 0.8914,             0.00012461,             0.00012461,             0.00012461
                     59,                0.60168,                0.39697,                0.88823,                0.91684,                0.90987,                0.93789,                0.75063,                0.79264,                0.45887,                0.90239,             0.00012178,             0.00012178,             0.00012178
                     60,                0.58942,                0.38237,                0.89086,                0.85603,                0.94231,                0.94545,                 0.7738,                0.75414,                0.50715,                0.88911,             0.00011895,             0.00011895,             0.00011895
                     61,                0.58783,                0.35432,                0.88887,                 0.8831,                0.95419,                0.95108,                0.77866,                0.73966,                0.45849,                0.89451,             0.00011612,             0.00011612,             0.00011612
                     62,                0.59004,                0.35572,                0.88804,                0.90939,                0.94912,                0.94429,                0.77765,                0.73933,                0.44763,                0.89532,             0.00011328,             0.00011328,             0.00011328
                     63,                0.59353,                0.38384,                0.88872,                0.90423,                  0.938,                0.94531,                0.77174,                0.76921,                0.47437,                0.90431,             0.00011045,             0.00011045,             0.00011045
                     64,                0.58595,                0.35958,                0.88975,                 0.8838,                0.94097,                0.93682,                0.76486,                  0.759,                0.51195,                0.89436,             0.00010762,             0.00010762,             0.00010762
                     65,                0.58565,                 0.3353,                0.88616,                0.90479,                 0.9431,                0.92393,                0.75342,                0.75882,                0.51213,                0.88087,             0.00010479,             0.00010479,             0.00010479
                     66,                0.58149,                0.36798,                0.88578,                0.88619,                0.94814,                0.94047,                0.77126,                0.76227,                0.47824,                0.89042,             0.00010196,             0.00010196,             0.00010196
                     67,                0.57413,                0.33638,                 0.8909,                0.90326,                0.95604,                0.94314,                0.77768,                0.74908,                0.45506,                0.88183,             9.9128e-05,             9.9128e-05,             9.9128e-05
                     68,                0.57363,                0.33666,                0.88289,                0.89535,                 0.9455,                0.95519,                0.77195,                0.75289,                 0.4861,                0.88664,             9.6296e-05,             9.6296e-05,             9.6296e-05
                     69,                0.56785,                0.33181,                0.89395,                0.88277,                0.94713,                0.94312,                 0.7655,                0.76523,                0.48226,                0.88977,             9.3465e-05,             9.3465e-05,             9.3465e-05
                     70,                0.56526,                0.36035,                0.88839,                0.89608,                0.93924,                0.93809,                0.76371,                0.75191,                0.49992,                0.88801,             9.0633e-05,             9.0633e-05,             9.0633e-05
                     71,                0.55027,                0.31935,                0.87596,                0.88279,                0.93967,                0.93442,                0.76779,                0.74058,                0.56102,                0.89235,             8.7802e-05,             8.7802e-05,             8.7802e-05
                     72,                0.55542,                0.33988,                0.88647,                  0.882,                0.94331,                0.93968,                0.76941,                0.75073,                0.51949,                0.89266,             8.4971e-05,             8.4971e-05,             8.4971e-05
                     73,                0.56129,                0.32511,                0.88829,                0.90463,                0.94386,                0.95736,                0.78409,                0.74554,                0.45963,                0.89112,             8.2139e-05,             8.2139e-05,             8.2139e-05
                     74,                 0.5626,                0.33636,                0.88565,                 0.8931,                0.94237,                0.94028,                0.77771,                0.75087,                0.48935,                0.89647,             7.9308e-05,             7.9308e-05,             7.9308e-05
                     75,                0.56141,                0.35075,                0.88502,                0.89929,                0.94196,                0.95784,                0.78035,                0.75587,                0.47843,                0.89589,             7.6476e-05,             7.6476e-05,             7.6476e-05
                     76,                  0.549,                0.33534,                0.88841,                0.90459,                0.93878,                 0.9724,                0.78807,                0.75274,                0.48805,                0.89407,             7.3645e-05,             7.3645e-05,             7.3645e-05
                     77,                0.54635,                0.32729,                0.88044,                0.89007,                0.93675,                0.93601,                0.77065,                0.75556,                 0.4982,                0.89099,             7.0814e-05,             7.0814e-05,             7.0814e-05
                     78,                0.53719,                0.31674,                0.87783,                0.88419,                0.94191,                0.93466,                0.77275,                0.74623,                0.49347,                0.89372,             6.7982e-05,             6.7982e-05,             6.7982e-05
                     79,                0.54147,                0.34358,                0.87147,                0.87541,                 0.9558,                0.95619,                0.79582,                0.72986,                0.47257,                0.88876,             6.5151e-05,             6.5151e-05,             6.5151e-05
                     80,                0.54016,                0.31751,                0.87974,                0.92606,                0.96166,                0.96463,                0.78549,                0.74288,                0.43939,                0.89738,             6.2319e-05,             6.2319e-05,             6.2319e-05
                     81,                0.54403,                0.29889,                0.87756,                0.91007,                0.94475,                0.94758,                0.77794,                0.74926,                0.48599,                0.89481,             5.9488e-05,             5.9488e-05,             5.9488e-05
                     82,                0.53904,                0.31869,                0.87874,                0.89126,                0.94671,                0.95063,                0.76818,                0.75521,                0.52365,                0.89852,             5.6657e-05,             5.6657e-05,             5.6657e-05
                     83,                0.53274,                0.30826,                0.87313,                0.91375,                0.94038,                0.94753,                0.76461,                 0.7643,                0.47547,                0.90434,             5.3825e-05,             5.3825e-05,             5.3825e-05
                     84,                0.52193,                0.30014,                0.87081,                0.92155,                0.93664,                0.96758,                0.78401,                0.75052,                0.44631,                0.89423,             5.0994e-05,             5.0994e-05,             5.0994e-05
                     85,                0.54034,                0.30326,                 0.8869,                0.92104,                0.94859,                0.96342,                0.79092,                0.73231,                0.44614,                0.88825,             4.8162e-05,             4.8162e-05,             4.8162e-05
                     86,                0.52371,                0.30857,                0.87681,                0.90844,                0.94626,                0.95697,                0.78664,                0.72654,                 0.4525,                0.88428,             4.5331e-05,             4.5331e-05,             4.5331e-05
                     87,                0.52176,                0.29975,                 0.8783,                0.91412,                0.94845,                0.95253,                0.78138,                0.73018,                0.43743,                0.88987,               4.25e-05,               4.25e-05,               4.25e-05
                     88,                0.52229,                0.30433,                0.87769,                0.92155,                0.95114,                0.95176,                0.78451,                0.74423,                0.44462,                0.89202,             3.9668e-05,             3.9668e-05,             3.9668e-05
                     89,                0.51725,                0.30981,                  0.872,                0.91979,                0.95166,                0.95193,                0.77771,                  0.751,                0.44444,                0.89509,             3.6837e-05,             3.6837e-05,             3.6837e-05
                     90,                0.51996,                0.31393,                0.87271,                0.91665,                 0.9522,                0.93936,                0.76676,                0.75821,                0.44913,                0.89439,             3.4005e-05,             3.4005e-05,             3.4005e-05
                     91,                0.47361,                0.27851,                0.85136,                0.90857,                0.94975,                0.93662,                0.76559,                0.74922,                   0.47,                0.89767,             3.1174e-05,             3.1174e-05,             3.1174e-05
                     92,                0.46769,                0.27732,                0.84477,                0.89799,                0.93634,                0.92443,                0.76607,                0.74677,                0.49909,                0.90285,             2.8343e-05,             2.8343e-05,             2.8343e-05
                     93,                0.47393,                0.27667,                0.84964,                0.88692,                0.95386,                0.92396,                0.76884,                0.73762,                0.47514,                0.90382,             2.5511e-05,             2.5511e-05,             2.5511e-05
                     94,                0.45874,                0.25175,                0.84402,                0.91591,                0.93096,                0.93636,                 0.7688,                0.73643,                0.47249,                0.90456,              2.268e-05,              2.268e-05,              2.268e-05
                     95,                0.46152,                0.27077,                0.84891,                0.91406,                0.93248,                 0.9324,                 0.7631,                0.74615,                0.47406,                0.90663,             1.9848e-05,             1.9848e-05,             1.9848e-05
                     96,                0.45828,                0.26705,                0.84864,                0.91397,                0.93361,                0.93365,                0.75773,                0.74681,                0.46379,                0.90717,             1.7017e-05,             1.7017e-05,             1.7017e-05
                     97,                0.45206,                0.27065,                0.84833,                0.91097,                0.93057,                0.93482,                0.76514,                0.75112,                0.46095,                0.91011,             1.4186e-05,             1.4186e-05,             1.4186e-05
                     98,                0.45005,                0.24311,                0.85008,                0.91211,                0.93296,                0.94057,                  0.769,                0.74661,                0.45604,                0.90774,             1.1354e-05,             1.1354e-05,             1.1354e-05
                     99,                0.45448,                0.24813,                0.84749,                0.91274,                0.93565,                0.94666,                0.77097,                0.74651,                0.45978,                0.90653,             8.5228e-06,             8.5228e-06,             8.5228e-06
                    100,                0.44931,                0.25849,                0.84775,                0.91373,                0.93934,                0.94659,                0.76706,                0.74582,                0.46223,                0.90566,             5.6914e-06,             5.6914e-06,             5.6914e-06
